,comment,url_id,label,predict,filtered
2303,인육 치킨 만드는 과정이네 실제로,38,1,0,0
2332,자살엔딩,55,1,0,0
2359,닥쳐시밸름아,32,1,1,0
2368,아프읍읍 늦게킨다더니 이지랄하고있네 쓰렉새끼,39,1,1,1
2379,형냐 나 죽어,12,1,1,0
2415,시발련아 빨리 처먹기나해,34,1,1,1
2439,팀운 망겜,15,1,1,0
2484,브자베지 진심 내가 봤는데 5센티임 ㅇㄱㄹㅇ,38,1,0,0
2493,똥꼬핥은 혀,75,1,1,0
2510,개웃기네,11,1,1,0
2523,똥챔조무사,18,1,1,0
2568,CurseLit,18,1,0,0
2571,눈알 못ㄲ어 이걸?,12,1,1,0
2628,와 미쳤다,14,1,0,0
2635,와 방금 개존잘,39,1,1,1
2715,브베님 뇌성마비인가요 아닌가요?,35,1,0,0
2744,븅_신 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,34,1,1,0
2782,저새끼 살인미수야,36,1,1,1
2786,ㅇㅇㅇ 전화안받아 ㅂㅅ들아,34,1,1,0
2811,뇌절 파티,16,1,1,0
2830,미친,12,1,1,0
2841,사망선언,75,1,1,0
2882,쌍베고추3츠,72,1,0,0
2909,ㅅㅅㅂ 노무 야한데,14,1,1,1
2915,진짜 창석이형 스타듀벨리하는거 보면 암걸려 뒤져버릴꺼같으니까 제발 다른거해,35,1,1,1
2918,아니 창석이형 진짜 나 개 무시하지말고 스타듀벨리말고 다른거하라고 답답하니까,35,1,1,0
2925,ㅁㅊ 오늘은 진짜 이거다,32,1,1,1
2927,미친 ㅋㅋㅋ,72,1,1,0
2931,안뒤져 ㄷㄷ,65,1,0,0
2940,다시 봐도 지리네,12,1,1,0
2947,개이득,72,1,1,0
2969,개머싯다,14,1,1,0
